,entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
3524,BitMinter.com,14Bgpo8ppBgo9M8b6P1FUapZ6Ljbz1e6ag,pool,2.0,7.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1764.0,1764.0,180.0,1584.0,1944.0,7056.0,7056.0,720.0,6336.0,7776.0,2.0,2.0,1.0,1.0,3.0,41.0,41.0,0.0,41.0,41.0,4041484541.0,4041484541.0,2489305212.0,1552179329.0,6530789753.0,4041409541.0,4041409541.0,2489330212.0,1552079329.0,6530739753.0
3525,BitMinter.com,1BkpHjpt4QYeAAtpknCAFsBcP21FCMKNK1,pool,2.0,2.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.0,1674.0,90.0,1584.0,1764.0,6696.0,6696.0,360.0,6336.0,7056.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,2478644803.5,2478644803.5,1054676275.5,1423968528.0,3533321079.0,2478569803.5,2478569803.5,1054701275.5,1423868528.0,3533271079.0
3526,BitMinter.com,13X4cnyEDsbY1VtbNxLAbE5fGpxnWbADsj,pool,2.0,7.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.5,1674.5,90.5,1584.0,1765.0,6698.0,6698.0,362.0,6336.0,7060.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,3127353413.5,3127353413.5,1237440168.5,1889913245.0,4364793582.0,3127278413.5,3127278413.5,1237465168.5,1889813245.0,4364743582.0
3527,BitMinter.com,1Buyua8QrzEDWiddw36nAuD7GCNHyXoSSM,pool,2.0,8.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.5,1674.5,89.5,1585.0,1764.0,6698.0,6698.0,358.0,6340.0,7056.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,3033110389.0,3033110389.0,1266732316.0,1766378073.0,4299842705.0,3033035389.0,3033035389.0,1266757316.0,1766278073.0,4299792705.0
3528,BitMinter.com,144CzFRjbEnd2mEWg5DCc7WEMtoWodhMuj,pool,2.0,63.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1945.0,1945.0,360.0,1585.0,2305.0,7780.0,7780.0,1440.0,6340.0,9220.0,3.0,3.0,2.0,1.0,5.0,41.0,41.0,0.0,41.0,41.0,1499069774.0,1499069774.0,1464700411.0,34369363.0,2963770185.0,1498994774.0,1498994774.0,1464725411.0,34269363.0,2963720185.0
3529,BitMinter.com,15FLYrTaTwr15CsJvhz9v6ichGHfjWgpWU,pool,2.0,3.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1944.0,1944.0,361.0,1583.0,2305.0,7776.0,7776.0,1444.0,6332.0,9220.0,3.0,3.0,2.0,1.0,5.0,41.0,41.0,0.0,41.0,41.0,1502404658.0,1502404658.0,1461365527.0,41039131.0,2963770185.0,1502329658.0,1502329658.0,1461390527.0,40939131.0,2963720185.0
3530,BitMinter.com,1AnVNqtaCXq2APXUmVeTrXgnxfm4fLaYMH,pool,2.0,3.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1944.5,1944.5,360.5,1584.0,2305.0,7778.0,7778.0,1442.0,6336.0,9220.0,3.0,3.0,2.0,1.0,5.0,41.0,41.0,0.0,41.0,41.0,1610735745.0,1610735745.0,1353034440.0,257701305.0,2963770185.0,1610660745.0,1610660745.0,1353059440.0,257601305.0,2963720185.0
3531,BitMinter.com,1CePMGhzsBRpDEs79WQ7qRZwSQkZzvYZ8y,pool,2.0,3.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1944.5,1944.5,360.5,1584.0,2305.0,7778.0,7778.0,1442.0,6336.0,9220.0,3.0,3.0,2.0,1.0,5.0,41.0,41.0,0.0,41.0,41.0,1738134904.0,1738134904.0,1225635281.0,512499623.0,2963770185.0,1738059904.0,1738059904.0,1225660281.0,512399623.0,2963720185.0
3532,BitMinter.com,15B98rHbz2urBHv1Tx3ZYh3MHPMFye4ka3,pool,2.0,7.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1673.5,1673.5,89.5,1584.0,1763.0,6694.0,6694.0,358.0,6336.0,7052.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,2686946099.5,2686946099.5,1267433627.5,1419512472.0,3954379727.0,2686871099.5,2686871099.5,1267458627.5,1419412472.0,3954329727.0
3533,BitMinter.com,1cQ8pr3u3jDY3pmk9zUnNW4XVPy5BQpde,pool,2.0,9.0,50000.0,50000.0,0.0,50000.0,50000.0,0.0,1266.0,1266.0,499.0,767.0,1765.0,5064.0,5064.0,1996.0,3068.0,7060.0,1.5,1.5,0.5,1.0,2.0,29.0,29.0,12.0,17.0,41.0,2913304668.0,2913304668.0,1171065272.0,1742239396.0,4084369940.0,2913254668.0,2913254668.0,1171065272.0,1742189396.0,4084319940.0
3534,BitMinter.com,1Fb2V6ut8YPwmEk2o7aZ9QpdUxo1ruer5F,pool,2.0,7.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.5,1674.5,90.5,1584.0,1765.0,6698.0,6698.0,362.0,6336.0,7060.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,3112028814.0,3112028814.0,1205387005.0,1906641809.0,4317415819.0,3111953814.0,3111953814.0,1205412005.0,1906541809.0,4317365819.0
3535,BitMinter.com,12aVHHiZUwqc2x4in4v1cSAZvAYADudcJh,pool,2.0,12.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.0,1674.0,90.0,1584.0,1764.0,6696.0,6696.0,360.0,6336.0,7056.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,3575067372.5,3575067372.5,1121463803.5,2453603569.0,4696531176.0,3574992372.5,3574992372.5,1121488803.5,2453503569.0,4696481176.0
3536,BitMinter.com,1GC36U33frDnYbE83s33YuNngorFcuxks2,pool,2.0,1.0,50000.0,50000.0,0.0,50000.0,50000.0,0.0,1763.5,1763.5,179.5,1584.0,1943.0,7054.0,7054.0,718.0,6336.0,7772.0,2.0,2.0,1.0,1.0,3.0,41.0,41.0,0.0,41.0,41.0,3688464780.5,3688464780.5,1371294412.5,2317170368.0,5059759193.0,3688414780.5,3688414780.5,1371294412.5,2317120368.0,5059709193.0
3537,BitMinter.com,1LAtZ9S7MgDVadNsvyy4wJw8Q6SjucvAqc,pool,2.0,1.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1763.5,1763.5,179.5,1584.0,1943.0,7054.0,7054.0,718.0,6336.0,7772.0,2.0,2.0,1.0,1.0,3.0,41.0,41.0,0.0,41.0,41.0,2701713616.0,2701713616.0,2358045577.0,343668039.0,5059759193.0,2701638616.0,2701638616.0,2358070577.0,343568039.0,5059709193.0
3538,BitMinter.com,18R4avtYYLNj7Utba9krkp6pPtVcULeZvj,pool,2.0,20.0,75000.0,75000.0,25000.0,50000.0,100000.0,50000.0,1674.0,1674.0,89.0,1585.0,1763.0,6696.0,6696.0,356.0,6340.0,7052.0,1.5,1.5,0.5,1.0,2.0,41.0,41.0,0.0,41.0,41.0,2814139915.0,2814139915.0,1266006191.0,1548133724.0,4080146106.0,2814064915.0,2814064915.0,1266031191.0,1548033724.0,4080096106.0
