entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
BlueSkyMarketplace,13SWoSF3dZQ7H4ajuksNRKPHURHUFk2Sui,darknet,35.0,44903.0,10285.7143,10000.0,1665.9863,10000.0,20000.0,10000.0,406.8,374.0,182.8329,225.0,962.0,1627.2,1496.0,731.3317,900.0,3848.0,2.2,2.0,1.2375,1.0,6.0,2.0,2.0,0.0,2.0,2.0,85604123.0286,35096482.0,144325512.0191,2106482.0,862781857.0,85593837.3143,35086482.0,144325649.3504,2096482.0,862771857.0
BlueSkyMarketplace,16hiBZoBvqefymE2VNSmSBBxsz3LDKe2My,darknet,55.0,48167.0,21350.0,10000.0,81477.721,10000.0,620000.0,610000.0,902.2727,338.0,3879.5443,192.0,29379.0,3609.0909,1352.0,15518.1773,768.0,117516.0,5.5636,2.0,26.0808,1.0,197.0,2.0727,2.0,0.9696,1.0,9.0,133509614.6727,17500000.0,601702482.8531,30000.0,4392636696.0,133488264.6727,17490000.0,601683703.0499,20000.0,4392626696.0
BlueSkyMarketplace,19TYBBWW2vCtw7w6L29DoguZT5uZqkNNC5,darknet,24.0,70437.0,16708.3333,10000.0,12146.6016,10000.0,70000.0,60000.0,722.8333,439.0,1283.2796,225.0,6839.0,2891.3333,1756.0,5133.1183,900.0,27356.0,2.2917,2.0,1.0198,1.0,5.0,10.1667,2.0,38.959,1.0,197.0,38869123.8333,33186849.0,32389589.589,99000.0,132848934.0,38852415.5,33166849.0,32390354.7118,78000.0,132838934.0
BlueSkyMarketplace,1AbM3i9A3nS4eTufJvwcfNdqvFdV1GAnQT,darknet,47.0,84736.0,10053.617,10000.0,3878.515,0.0,32520.0,32520.0,328.0426,227.0,151.2767,192.0,849.0,1312.1702,908.0,605.1068,768.0,3396.0,1.5957,1.0,0.8911,1.0,5.0,2.4043,2.0,2.1002,1.0,16.0,170774490.0638,46832173.0,393079101.8702,1490000.0,2221000000.0,170764436.4468,46822173.0,393077080.089,1480000.0,2220967480.0
BlueSkyMarketplace,16kKF8Qpcebb3AmQhptWZ6E1QnA1Czr3iv,darknet,3.0,27248.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,432.3333,257.0,272.3543,223.0,817.0,1729.3333,1028.0,1089.4174,892.0,3268.0,2.3333,1.0,1.8856,1.0,5.0,1.6667,2.0,0.4714,1.0,2.0,77017097.3333,32400000.0,79540179.3366,9900000.0,188751292.0,77007097.3333,32390000.0,79540179.3366,9890000.0,188741292.0
BlueSkyMarketplace,1HwroUJKQiDDaEuiebciU9humBGpLLfZz8,darknet,12.0,105953.0,64682.3333,15000.0,166353.5393,10000.0,616188.0,606188.0,787.25,586.0,798.8289,258.0,3341.0,3149.0,2344.0,3195.3158,1032.0,13364.0,3.1667,3.0,1.675,1.0,7.0,8.1667,2.0,19.252,2.0,72.0,40353143.3333,16185706.5,63885722.0595,325849.0,239400000.0,40288461.0,16165706.5,63918021.5047,72000.0,239390000.0
BlueSkyMarketplace,19Z9maLrExtifKLm446oDitHaNryvF3eze,darknet,13.0,25352.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,307.1538,257.0,149.9948,225.0,799.0,1228.6154,1028.0,599.9792,900.0,3196.0,1.3846,1.0,0.8356,1.0,4.0,2.0,2.0,0.0,2.0,2.0,36178634.7692,21442296.0,29402308.2113,4244995.0,99980000.0,36168634.7692,21432296.0,29402308.2113,4234995.0,99970000.0
BlueSkyMarketplace,1BsUiieGhCa36tczjWEX93PfM8cidzTs31,darknet,48.0,177853.0,9583.3333,10000.0,1998.2631,0.0,10000.0,10000.0,1402.4375,226.0,5061.5079,225.0,25657.0,5609.75,904.0,20246.0318,900.0,102628.0,1.7917,1.0,1.3838,1.0,6.0,33.125,2.0,149.2703,2.0,749.0,142107543.8333,18800000.0,679655704.9495,10749.0,4782775075.0,142097960.5,18790000.0,679657157.5717,749.0,4782775075.0
BlueSkyMarketplace,1EQHLWEsoqmTYC7FMDNCqdY1epaNcSVLRB,darknet,32.0,178305.0,14375.0,10000.0,9980.4496,0.0,50000.0,50000.0,2023.625,258.0,6127.4764,192.0,25692.0,8094.5,1032.0,24509.9058,768.0,102768.0,2.1562,1.0,2.4763,1.0,11.0,48.7188,2.0,181.0701,1.0,750.0,567596215.2188,43337874.5,2029339344.3886,12999.0,9050089103.0,567581840.2188,43322874.5,2029341737.8347,2999.0,9050089103.0
BlueSkyMarketplace,19BVRHVsXTzkQ7ffxu6ma32wGfDXXneRay,darknet,14.0,197308.0,9285.7143,10000.0,4573.6602,0.0,20000.0,20000.0,3903.5,227.0,8895.1458,191.0,25691.0,15614.0,908.0,35580.5833,764.0,102764.0,1.2857,1.0,0.589,1.0,3.0,108.7143,2.0,261.804,1.0,750.0,425740297.4286,8487346.5,1022480063.8346,12999.0,3160916300.0,425731011.7143,8482346.5,1022479783.6146,2999.0,3160906300.0
BlueSkyMarketplace,12CAD163Vc7KXJS5PSs8mP7TpUp5WEazfV,darknet,14.0,181637.0,20000.0,10000.0,22677.8684,10000.0,100000.0,90000.0,3989.0,438.0,8846.7627,225.0,25658.0,15956.0,1752.0,35387.051,900.0,102632.0,1.6429,2.0,0.6103,1.0,3.0,108.9286,2.0,261.3092,2.0,749.0,27059032.6429,21610094.5,28045742.2239,10749.0,123143111.0,27039032.6429,21595094.5,28024232.2362,749.0,123043111.0
BlueSkyMarketplace,13sZqoFJb3cGGv9Rx5Qk5NYPuP3FVmqN1G,darknet,14.0,176581.0,14285.7143,10000.0,4948.7166,10000.0,20000.0,10000.0,4044.8571,438.0,8823.964,225.0,25657.0,16179.4286,1752.0,35295.8559,900.0,102628.0,2.0714,2.0,0.961,1.0,4.0,108.7143,2.0,261.3955,2.0,749.0,114025666.3571,24243243.5,164018354.1676,10749.0,462417451.0,114011380.6429,24228243.5,164018371.8015,749.0,462397451.0
BlueSkyMarketplace,1NywWqdB4U3tQbajiQg8tzKuQYvyEZ6Vnh,darknet,14.0,76025.0,10714.2857,10000.0,2575.3938,10000.0,20000.0,10000.0,3955.0,374.5,8860.5739,223.0,25658.0,15820.0,1498.0,35442.2956,892.0,102632.0,1.5714,1.0,0.7284,1.0,3.0,108.5714,2.0,261.4541,1.0,749.0,20519267.3571,14011736.5,21169248.3654,10749.0,74205000.0,20508553.0714,14001736.5,21169796.3199,749.0,74195000.0
BlueSkyMarketplace,13mBKuq37gAcdNJbVRP8NTnaKBKYjv4dZY,darknet,6.0,191857.0,8333.3333,10000.0,3726.78,0.0,10000.0,10000.0,8933.1667,735.0,11827.0734,375.0,25658.0,35732.6667,2940.0,47308.2934,1500.0,102632.0,2.3333,2.0,1.2472,1.0,4.0,251.0,2.0,352.1392,2.0,749.0,15691886.6667,18849678.0,12038169.7598,10749.0,29590000.0,15683553.3333,18839678.0,12039713.7419,749.0,29580000.0
BlueSkyMarketplace,1HTEdvpWJguJSTrTuNLBZ44d8xhxGUatv3,darknet,4.0,180590.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,13041.0,13106.5,12650.8417,259.0,25692.0,52164.0,52426.0,50603.3669,1036.0,102768.0,1.5,1.0,0.866,1.0,3.0,376.0,376.0,374.0,2.0,750.0,114020499.25,76165340.5,125951324.7299,12999.0,303738317.0,114010499.25,76155340.5,125951324.7299,2999.0,303728317.0
BlueSkyMarketplace,1HHG4tEQPiwG8St3JCZBDxfbCMt4ovBoBL,darknet,48.0,182555.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,804.8542,226.0,3626.9957,224.0,25658.0,3219.4167,904.0,14507.9826,896.0,102632.0,1.3333,1.0,0.7728,1.0,4.0,17.5625,2.0,106.6911,2.0,749.0,679749917.8542,75699371.5,1133005716.3162,10749.0,4943911928.0,679739917.8542,75689371.5,1133005716.3162,749.0,4943901928.0
BlueSkyMarketplace,1AXJ6Wjg1yzFZMBR7iEkibr1NgLruxgaEW,darknet,19.0,194429.0,11578.9474,10000.0,5860.8046,0.0,30000.0,30000.0,1802.7368,259.0,5643.0355,224.0,25691.0,7210.9474,1036.0,22572.142,896.0,102764.0,2.2105,1.0,1.7038,1.0,6.0,42.3158,2.0,166.87,1.0,750.0,315482812.4737,146100000.0,409487412.2506,12999.0,1652267783.0,315471233.5263,146090000.0,409485096.3298,2999.0,1652237783.0
BlueSkyMarketplace,1Mch4dmFQ1dkvHRPYykbxdc5RK19fGJTWw,darknet,9.0,80673.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,3170.6667,375.0,7963.4845,226.0,25691.0,12682.6667,1500.0,31853.9378,904.0,102764.0,1.7778,1.0,1.0304,1.0,4.0,85.1111,2.0,235.0737,2.0,750.0,824816417.8889,34905913.0,1130688416.1762,12999.0,2619996905.0,824806417.8889,34895913.0,1130688416.1762,2999.0,2619986905.0
